1		4.0000000000		0.8584073464		4.9265501032		1
2		4.0000000000		0.8584073464		3.4835969858		1
3		4.0000000000		0.8584073464		2.8443450283		1
4		4.0000000000		0.8584073464		2.4632750516		1
5		3.2000000000		0.0584073464		2.2032201851		1
6		3.3333333333		0.1917406797		2.0112556575		1
7		3.4285714286		0.2869787750		1.8620609135		1
8		3.5000000000		0.3584073464		1.7417984929		1
9		3.5555555556		0.4139629020		1.6421833677		1
10		3.6000000000		0.4584073464		1.5579119333		1
20		3.4000000000		0.2584073464		1.1016100925		1
30		3.0666666667		0.0749259869		0.8994608741		1
40		3.1000000000		0.0415926536		0.7789559667		1
50		3.2000000000		0.0584073464		0.6967193972		1
60		3.2000000000		0.0584073464		0.6360148835		1
70		3.2000000000		0.0584073464		0.5888353629		1
80		3.2000000000		0.0584073464		0.5508050463		1
90		3.2000000000		0.0584073464		0.5193039778		1
100		3.2000000000		0.0584073464		0.4926550103		1
200		3.1600000000		0.0184073464		0.3483596986		1
300		3.1600000000		0.0184073464		0.2844345028		1
400		3.1600000000		0.0184073464		0.2463275052		1
500		3.1200000000		0.0215926536		0.2203220185		1
600		3.1066666667		0.0349259869		0.2011255658		1
700		3.1028571429		0.0387355107		0.1862060914		1
800		3.0850000000		0.0565926536		0.1741798493		1
900		3.0977777778		0.0438148758		0.1642183368		1
1000		3.1120000000		0.0295926536		0.1557911933		1
2000		3.0960000000		0.0455926536		0.1101610093		1
3000		3.0920000000		0.0495926536		0.0899460874		1
4000		3.0930000000		0.0485926536		0.0778955967		1
5000		3.1032000000		0.0383926536		0.0696719397		1
6000		3.1040000000		0.0375926536		0.0636014883		1
7000		3.1102857143		0.0313069393		0.0588835363		1
8000		3.1100000000		0.0315926536		0.0550805046		1
9000		3.1044444444		0.0371482091		0.0519303978		1
10000		3.1140000000		0.0275926536		0.0492655010		1
20000		3.1176000000		0.0239926536		0.0348359699		1
30000		3.1262666667		0.0153259869		0.0284434503		1
40000		3.1304000000		0.0111926536		0.0246327505		1
50000		3.1306400000		0.0109526536		0.0220322019		1
60000		3.1345333333		0.0070593203		0.0201125566		1
70000		3.1335428571		0.0080497964		0.0186206091		1
80000		3.1352000000		0.0063926536		0.0174179849		1
90000		3.1360888889		0.0055037647		0.0164218337		1
100000		3.1374000000		0.0041926536		0.0155791193		1
200000		3.1390800000		0.0025126536		0.0110161009		1
300000		3.1410000000		0.0005926536		0.0089946087		1
400000		3.1411400000		0.0004526536		0.0077895597		1
500000		3.1411600000		0.0004326536		0.0069671940		1
600000		3.1409466667		0.0006459869		0.0063601488		1
700000		3.1400514286		0.0015412250		0.0058883536		1
800000		3.1391500000		0.0024426536		0.0055080505		1
900000		3.1395777778		0.0020148758		0.0051930398		1
1000000		3.1390880000		0.0025046536		0.0049265501		1
2000000		3.1392540000		0.0023386536		0.0034835970		1
3000000		3.1398400000		0.0017526536		0.0028443450		1
4000000		3.1405990000		0.0009936536		0.0024632751		1
5000000		3.1411936000		0.0003990536		0.0022032202		1
6000000		3.1411093333		0.0004833203		0.0020112557		1
7000000		3.1412685714		0.0003240822		0.0018620609		1
8000000		3.1413930000		0.0001996536		0.0017417985		1
9000000		3.1413902222		0.0002024314		0.0016421834		1
10000000		3.1409324000		0.0006602536		0.0015579119		1
20000000		3.1411108000		0.0004818536		0.0011016101		1
30000000		3.1413221333		0.0002705203		0.0008994609		1
40000000		3.1413637000		0.0002289536		0.0007789560		1
50000000		3.1413562400		0.0002364136		0.0006967194		1
60000000		3.1412826667		0.0003099869		0.0006360149		1
70000000		3.1412990286		0.0002936250		0.0005888354		1
80000000		3.1413209000		0.0002717536		0.0005508050		1
90000000		3.1413568889		0.0002357647		0.0005193040		1
100000000		3.1413526800		0.0002399736		0.0004926550		1
200000000		3.1414445600		0.0001480936		0.0003483597		1
300000000		3.1414950533		0.0000976003		0.0002844345		1
400000000		3.1414508000		0.0001418536		0.0002463275		1
500000000		3.1414690400		0.0001236136		0.0002203220		1
600000000		3.1414754533		0.0001172003		0.0002011256		1
700000000		3.1415346514		0.0000580022		0.0001862061		1
800000000		3.1415469800		0.0000456736		0.0001741798		1
900000000		3.1415298622		0.0000627914		0.0001642183		1
1000000000		3.1415206120		0.0000720416		0.0001557912		1
